course_id,units,time_slot,physical_capacity,reserved_manalytics
INDENG 222,3,We 5:00-7:59 PM,70,14
INDENG 223,3,Mo 5:00-7:59 PM,65,6
INDENG 230,3,Tu/Th 3:30-4:59 PM,130,66
INDENG 231,3,Mo/We 9:00-9:59 AM,130,14
INDENG 242B,4,Tu/Th 5:00-6:29 PM,155,20
INDENG 256,3,Tu/Th 12:30-1:59 PM,90,43
INDENG C253,3,Mo/We/Fr 2:00-2:59 PM,75,0
INDENG 290 #02,3,Mo/We 11:30 AM-12:59 PM,25,0
INDENG 290 #03,3,Mo/We/Fr 1:00-1:59 PM,75,2
INDENG 290 #05,3,Tu/Th 2:00-3:29 PM,48,3
